1682153121169,I&W Carnival 541G2 Automatic,I&W Carnival,99,23500000
1682153121180,Jacques Lemans JL-42-5F,Jacques Lemans,17,6498000
1682153121185,SUN AND MOON GEN 3 RA-AK0007S10B,Orient,25,6900000
1682153121190,Epos Swiss E-8000.700.28.85.32 Diamond,Epos Swiss,54,53910000
1683616883219,Philippe Auguste PA5021B,Philippe Auguste,24,12500000
1684125657264,Bruno Sohnle BS-17-23189-292 Diamond,Bruno Sohnle,29,11815000
1684125694097,Diamond D DM64205IG-R,Diamond,68,5300000
1684125715697,Philippe Auguste PA5004A,Philippe Auguste,20,9900000
1683616883220,TISSOT TELEMETER 1938 AUTOMATIC,TISSOT,20,62480000
1682153121175,I&W Carnival 708G1 Automatic,I&W Carnival,100,4580000
